iso,year,loss_pct
CHN,2023,3.42898799062376
CHN,2022,3.42196644419848
CHN,2021,3.78659226465804
CHN,2020,4.16389640609799
CHN,2019,4.43746316383222
CHN,2018,4.69240329095852
CHN,2017,4.75939076557592
CHN,2016,4.94033876369028
CHN,2015,5.10375821947701
CHN,2014,5.32872821712073
CHN,2013,5.7656831056128
CHN,2012,5.79922687921314
CHN,2011,5.72696538268161
CHN,2010,6.10324209189511
CHN,2009,6.07855429560914
CHN,2008,6.16603959696411
CHN,2007,6.28227278405992
CHN,2006,6.48590312335788
CHN,2005,6.82460789308873
CHN,2004,6.44701025912388
CHN,2003,6.59781081300324
CHN,2002,7.0649584926283
CHN,2001,6.97843072246242
CHN,2000,6.90922582386862
JPN,2024,4.93394555765672
JPN,2023,4.93403467617748
JPN,2022,4.09696967314841
JPN,2021,4.69564206767913
JPN,2020,4.54966981851082
JPN,2019,4.2458275921502
JPN,2018,4.21894259294843
JPN,2017,3.76099254223737
JPN,2016,4.25930578919986
JPN,2015,3.83387366145987
JPN,2014,4.02749185607205
JPN,2013,4.30365209956781
JPN,2012,3.93521867836567
JPN,2011,4.21646178417924
JPN,2010,4.02674934023418
JPN,2009,4.43228461699295
JPN,2008,4.43086745926904
JPN,2007,4.26744575050751
JPN,2006,4.31463550101647
JPN,2005,4.34599886728064
JPN,2004,4.48899868713716
JPN,2003,4.70167923186546
JPN,2002,4.64459360391139
JPN,2001,4.31813464200902
JPN,2000,4.39666232756764
MYS,2023,6.89739152062844
MYS,2022,6.89713175963259
MYS,2021,6.89716479523521
MYS,2020,6.89724477725075
MYS,2019,6.89717037726434
MYS,2018,6.89744146088303
MYS,2017,6.89705480076593
MYS,2016,6.89760824189502
MYS,2015,6.89753940023713
MYS,2014,8.66006645419407
MYS,2013,3.8367016509093
MYS,2012,6.18830675778284
MYS,2011,9.35853901905123
MYS,2010,6.16896126168
MYS,2009,5.67485323655423
MYS,2008,7.99991820124539
MYS,2007,7.99971286763198
MYS,2006,7.99955471446065
MYS,2005,8.00019353355993
MYS,2004,8.00034028486705
MYS,2003,8.00061170653379
MYS,2002,8.00010774555886
MYS,2001,8.00039390017444
MYS,2000,7.99942242437369
SGP,2023,0.22997250704615
SGP,2022,0.284259356143839
SGP,2021,1.10888348739421
SGP,2020,0.904528259485374
SGP,2019,1.02810773100296
SGP,2018,1.0611277304284
SGP,2017,1.25591693388304
SGP,2016,1.90994059252666
SGP,2015,1.7631892106307
SGP,2014,2.03511329809854
SGP,2013,2.29930583060599
SGP,2012,1.83007371426137
SGP,2011,2.53824756606398
SGP,2010,4.91312033803303
SGP,2009,3.17289529684623
SGP,2008,2.54326669543123
SGP,2007,2.87360513456349
SGP,2006,2.6925612291466
SGP,2005,3.1245911077382
SGP,2004,5.88954388633832
SGP,2003,5.50775500962301
SGP,2002,6.56012000923148
SGP,2001,6.00501677294569
SGP,2000,3.63808621506395
THA,2023,7.16136006690191
THA,2022,7.47323772975157
THA,2021,7.92231656673391
THA,2020,7.30700341327686
THA,2019,7.02869990741965
THA,2018,7.16665926156307
THA,2017,6.62060385239164
THA,2016,6.56760197914484
THA,2015,6.72834218491234
THA,2014,6.19645312555089
THA,2013,6.15055170567766
THA,2012,5.74402746880743
THA,2011,6.95850462487153
THA,2010,6.34696667544619
THA,2009,5.91613860051234
THA,2008,6.07693560647193
THA,2007,6.4522866352453
THA,2006,8.05812227011287
THA,2005,8.10532765493922
THA,2004,7.93862893411916
THA,2003,7.31046391356009
THA,2002,7.26151926834414
THA,2001,9.20035149384886
THA,2000,7.90814465965804
VNM,2023,6.58319222235198
VNM,2022,6.19935170178282
VNM,2021,6.48890958380851
VNM,2020,6.53295630119815
VNM,2019,6.53718156632205
VNM,2018,7.08627003551646
VNM,2017,7.20634758648842
VNM,2016,7.56285291558841
VNM,2015,7.98828993527348
VNM,2014,9.30640976533422
VNM,2013,9.5390535586923
VNM,2012,9.11201442274985
VNM,2011,9.54819740179876
VNM,2010,10.1124305870204
VNM,2009,9.60024045686805
VNM,2008,10.0836557850564
VNM,2007,11.1106136580707
VNM,2006,11.3451143107467
VNM,2005,11.6631877143283
VNM,2004,13.0061243480707
VNM,2003,12.8821014050092
VNM,2002,14.0015644206057
VNM,2001,13.86238891793
VNM,2000,13.7683069161553
