Year,Month,LOAD,Quantity,UNIT
1989,November,GENERATION,3240.199402,GWh
1989,November,LOAD FACTOR,71.02,%
1989,December,PEAK,6165.9,MW
1989,December,GENERATION,3121.768213,GWh
1989,December,LOAD FACTOR,68.05,%
1990,January,PEAK,6500,MW
1990,January,GENERATION,3410.134421,GWh
1990,January,LOAD FACTOR,70.51,%
1990,February,PEAK,6671,MW
1990,February,GENERATION,3324.08755,GWh
1990,February,LOAD FACTOR,74.15,%
1990,March,PEAK,6865.5,MW
1990,March,GENERATION,3804.886342,GWh
1990,March,LOAD FACTOR,74.48,%
1990,April,PEAK,7056.4,MW
1990,April,GENERATION,3709.831523,GWh
1990,April,LOAD FACTOR,73.01,%
1990,May,PEAK,6887.3,MW
1990,May,GENERATION,3877.393999,GWh
1990,May,LOAD FACTOR,75.66,%
1990,June,PEAK,6897.1,MW
1990,June,GENERATION,3823.56897,GWh
1990,June,LOAD FACTOR,76.99,%
1990,July,PEAK,6864.1,MW
1990,July,GENERATION,3807.131107,GWh
1990,July,LOAD FACTOR,74.54,%
1990,August,PEAK,7093,MW
1990,August,GENERATION,3919.827844,GWh
1990,August,LOAD FACTOR,74.27,%
1990,September,PEAK,7093.7,MW
1990,September,GENERATION,3799.598616,GWh
1990,September,LOAD FACTOR,74.39,%
1990,October,PEAK,7115,MW
1990,October,GENERATION,3869.739336,GWh
1990,October,LOAD FACTOR,73.1,%
1990,November,PEAK,7221.3,MW
1990,November,GENERATION,3763.284538,GWh
1990,November,LOAD FACTOR,72.38,%
1990,December,PEAK,7151.4,MW
1990,December,GENERATION,3655.225618,GWh
1990,December,LOAD FACTOR,68.69,%
1991,January,PEAK,7241.8,MW
1991,January,GENERATION,3963.939772,GWh
1991,January,LOAD FACTOR,73.57,%
1991,February,PEAK,7238.4,MW
1991,February,GENERATION,3540.043051,GWh
1991,February,LOAD FACTOR,72.77,%
1991,March,PEAK,7615.5,MW
1991,March,GENERATION,4391.001778,GWh
1991,March,LOAD FACTOR,77.49,%
1991,April,PEAK,7713.3,MW
1991,April,GENERATION,4153.202298,GWh
1991,April,LOAD FACTOR,74.78,%
1991,May,PEAK,7704.6,MW
1991,May,GENERATION,4468.145966,GWh
1991,May,LOAD FACTOR,77.94,%
1991,June,PEAK,7652.1,MW
1991,June,GENERATION,4271.901407,GWh
1991,June,LOAD FACTOR,77.53,%
1991,July,PEAK,7892.9,MW
1991,July,GENERATION,4422.638243,GWh
1991,July,LOAD FACTOR,75.31,%
1991,August,PEAK,7755.9,MW
1991,August,GENERATION,4362.501252,GWh
1991,August,LOAD FACTOR,75.6,%
1991,September,PEAK,8045,MW
1991,September,GENERATION,4363.404782,GWh
1991,September,LOAD FACTOR,75.32,%
1991,October,PEAK,7973.9,MW
1991,October,GENERATION,4431.850643,GWh
1991,October,LOAD FACTOR,74.7,%
1991,November,PEAK,8037.7,MW
1991,November,GENERATION,4177.132789,GWh
1991,November,LOAD FACTOR,72.17,%
1991,December,PEAK,8015.3,MW
1991,December,GENERATION,4167.693768,GWh
1991,December,LOAD FACTOR,69.88,%
1992,January,PEAK,8019,MW
1992,January,GENERATION,4231.220312,GWh
